,topic,link,headline
18,"External affairs, defence news",https://news.google.com/read/CBMixgVBVV95cUxQVTRHcjBXZU56eEk5ckRVTkxHSFpIUmtOeXg5NUEwU2g2eldNbWFoVk93cG9WeFZYY3NzVHU1LXMzNTYyRGx6czdyQUVUWXlxVF9mdXhqdUV4SHY1MHhBX2JYcm1qSG1KaTgwN0RlY3VseHJ1OVg5cEJyQnNEeXhKNDJjYWdyNzBWX0o2bWktNExYZEMwV2FhbUFRQk9PSEtsU2p5ZWZuazFjVmhVdjVaemJ0aXZVams3WEpFT2NNanJxbHFBTmg4QnlrZ0tGbWdUUzdINXRGTXEwUXZyb1NucVdJZm9BMFphUHYxZHF6TmprVFQ2WU5SRUo1ZzRTLTBIZjFkYmd3NXR5alFxWFc3ZVltSWs2XzRPTTI3eThlcjYwclk1a3NFcHFLRi02Q2NvNm1wV3g4M2JtVEYyVTVNSGVLNjNrRk53QTBjSGt6QzdiU2xiendFLWpDOFdtanI0bVNvMUd4bE1vMlhnc1g1V2FYUXRYUV9TWl96S0RpY0E1MnhuV1J3QmhDVGhsUFpwRUdXRkxkbWFUcTNxMDU4M1I5Vi1mV2FNRkVqWldwMzFENW53b0RXOWxWeEpoZjZ5S0xjQ1NndmdWV3JDY1FHNEEzX0YwbTJENHlvUVY2S2VZLXRvMGViTDQ2bGoweWlJSTZBbHpNQ1BOT1FkLWdGM2VNZHlCdlducW9NamNaSXVmQkRyMktCY3V3QmVqMUNBaUNveUJNUnhtZ1kwblBqWWJJRS03SlVjTVFjenRlUVR4SEFuVFJoQjExV055Wmg4S3M1anBrZzFVNDNvOGdOOG41MlNwU3J4Z1JiUXJYdXFsUmNsbUhrYjdZU0VSY242cXU5d2xEZzZyMHFVLWFpeWJCWDdoZTlxZWdsR3V1N3lFM1VtNHFKMDd4cG93RmliVlBSNHhtdmROYjduTC1GZFZvTnRxdw?hl=en-IN&gl=IN&ceid=IN%3Aen,India cautiously optimistic for border talks with China: Rajnath
19,India News,https://news.google.com/read/CBMiogVBVV95cUxNQ2wwN2dRU2hPRmpOaHFKajFhXzlSVXhyR0RmOU1TdjBXX0hhaFlfbU5XLWJ4ODRHdnZMOXpoZXlIYVdQa1NYay1VRGZvVFQzVG5KOW5CdnhyTWJKRkEyYzhGb25NWFNWUjNQT3ZOSXB3OWMteXYzRXUwQlhybGpzRGwwYVBkajZId21WRHBINTN3cHZLS25uSHR3WUlyNHhWeTRabnVueHEtMmpVTmZiZmNua3VUdjN0T0dqdUFGRzE1RC1nTkMwZFpIQlJyWGhFdHI3NGxXX3ZFU0tHNVRXWjR5SzFLVlpaYzFKTmlxaEpxalptU0szbXNYSmdxMVc3Nmd5angzQVRsVXdtanlMbnl4YmJyUkFJYUJLM2hTb215ZVFhV1B2dlRZeG1CY3lqeElJcm5USEZmYnU0eHRjRk54Y0plNlJUSl9NX3psMzBXYXBjd2tIWGY0UTFoN3prWlRzT3FIcl8yaXFRU0cyNmZXOUlnN2JubFBFdG9oLW1VNlRMeFVlQUFUYnVmbWVEamtzUzdoTk9hMVNZdk40UmFCSmQwMzFWNzFidmtQTFBUN2g4RnR5TXBCZ0doX2l3T1hlTlM1RWFGM2NSSjFjVDdKM3NvY2JUOWpxSzNjVEl3NThpd1pjVFFJakxjY2RnTWV3M0NnSHBHdy0tQUh6Y2poS3ZqYVlFM0VKQ3RVWkdUMGp1ak1ncXVGNUU0OENZSWxHa0E3NWFENF9aZHhzM3FERGFqRFJXa1hkTjJGLW9hZ1JFZXlaRjd5OU0tbFF1YmVGcGpDU19ueXVsUklMQlhKOXBORDQ4MktibXRTckVURjNmV2pRckpXTkp5VFZ5SElpTlZveHBLc3VqTzUteS1tM3FNQWlPSXFXNjlwWGs4QQ?hl=en-IN&gl=IN&ceid=IN%3Aen,"New Haryana govt to be sworn in on Oct 17, PM Modi to attend"
20,India News,https://news.google.com/read/CBMioAVBVV95cUxQOGRsWEtPQkJ2a0tDbFlUUnlmVzNCMkVwQTdiV3NPVkxodGdZVC15bEx5YzZCaVphSlV2bnVTSVN2aldfMGdYcG56dVVJd202TkRVaUJfTnNqYjVYMXNMZnpxT28tTVBCaUNrcTlKMUJXUG42SzJUYk1MaWlQQ1FkNC1DbTNMWTFqWHF1aENtaWxIVzJkclk5YnYwYno5cHBKaXowQnVjMHdkUjU4VFREZWNkZGJnX3NHM3RrTENJMFlqS0ZwU19nNWxGVDF6NEVqb1lqZ2xhQXZQbzFsSFp2TEpxVkMyVlF1cGlJLXhzd3FxMlNUaU0yWWstdU5sYWN1NzVmb3FfaDVIODhyODQ2STUzaTI1UUJoYXJSVWhHX1dMeVhiTG5WbVJvN3F2Sk9tRGl4aWo4LWg3ZFpSNzJYQUJDZ1ctY282S21ueEhVNjViemU5MUhJZGI3Si05WXlKWFpDUWtFd3liekoxSzV6N3R0b0RPNUJ6NWdyRjJEbGdHcWFRLUN0YksyNHk1b1FXZVlTcmd1QTJpZjI2N1JfZTdkVG5LbTZKUm41alBUV1ZydDcxUlBfTjZqZFdqVXdxUEFHVVJabjFJdk9UUUd1ajB2REZFTlR1SGY1c1J0b3VvUV9Oa1JzeFd1TWhxRVB5YjdlYWhaQmhFMk14Y0l3UjR1UXUxb0N4WTRRTTB5WUJEaHZqZ3RFdVVPaW1WRGd4Z0gwX2puSzJ5TklDTy1jdHNWRW9jQXlPaHYtemZsNHhJbzFZVnV2SXFsQXNtU2lhazdmb1QtLU9fcDlsdnhybl9jUkpKV3ItNmUwRVAxdENqV1R1N1pSMkJKdmFMR2lSWDVudlV0QVBVTHRVZ2E2WVIzR2JTMTBxNE42VndkdUQ?hl=en-IN&gl=IN&ceid=IN%3Aen,Stop funding to madrassas till they comply with RTE norms: NCPCR
21,West Asia Crisis,https://news.google.com/read/CBMiuAJBVV95cUxPXzhSSFFRajluZnp5cGpwOUN6V2M0dVVYeVI4LVhZa29ueWtvR2ZySC1oejZUcHh3dTg4RjhlcE90cUZSVFJKQ3Z4MmFyRklTWEdlaldNdVRkRnYwZ3duLUF6RFVhV0dacDlOWkhQcl9TMk5qalZGY0NRRjgwYnFLTmx2Ty0zTjJabF9pUUFCbThPb3BmcWtua0wxdjZ0ME12UTBOY3V6NzAxb3VvY0J4ZkIzYWExQjlJMmY4d1pkU3FXR2hmU2JhM1Z2WHJwcllVMUZTUVpTcmU2TGJuM1dDcTBQdFVENXNraUlXbXlDQVhqalowOGtHaThFUDU2ZEpocTdjTng5SnpvSWdEdEptZU9abHBxLUtSLXRsYWJIWmZDSkVqN2N1Uldyc285NWw1dGNNa0NwNHg?hl=en-IN&gl=IN&ceid=IN%3Aen,"Iran bans pagers, walkie-talkies on flights"
22,India slams Bangladesh,https://news.google.com/read/CBMi4wJBVV95cUxQQ0VhRHJ3TzJQa2ZhMmZhRGZyck9xeElLcVdXYW5jSUZmdEN0TlVrVERZTS03QVZ6OTlEZzNGeUUwaW9XWmJNWXdpTFFyUzRCTzZQcGUzb0lYRkozaTB6SkFIc1h4bTdRNElMaV9ZTXYyNXFyWHFCOW5Ld01RWi1TQmhDRFZrTURhNjdBRUZrb2FlR0xPWWtGUnRZNlJmb2laUU9HTk1GYU9sekV1TGdaQm5pdm9BeXdhd1RHNWdjOW9GVDVxYlNQdmUxNGdpZ2NMbnVVMmNpOUFRSFZJRFZ1SmZkeFVNQlEwOHVOczloX0x5cThRd3pMMGFHOThLak42Z1NHdGtGcXpTZENzWURoUVVfTjB1UlFEY3dZM2FhR0REdzhwNXVRNGlheDYzTzFyZGg0TFFDcnBhdjhyc0ZwM3pCVW03SUZFVENxQzRxV3JhWXU4cHFLd0ZqNjRVNG12ZU1R?hl=en-IN&gl=IN&ceid=IN%3Aen,Calls attacks on Hindu temples 'systematic desecration'
23,Gujarat wall collapse,https://news.google.com/read/CBMiugJBVV95cUxNOFJ0cU1kekViNklXeWxkSlBJWG4wRUQtQWhoUFVyR0sxRTFiNmcwdWJQVTl4TlZCcUxYMHhLSDFqQ3hnNnhzSHNHRDdsR09tTFhwTm52X3NxYkl5ZXlhNlpBNUtuNzhpcFlqcWR2bi1XUlpNUzFwUjY4YmY5bWo0dmJOQk02TkkxcFpsYmtFNGhWalZ5SmN6OEQ4aU04TEFPTmlUYkxoLW10bG1XdW5fY3FHSnZwSnFSMmEzaW0yUElmakdxTWR1OWFpYTgzMHNLMGFCUGJheVA1SUFVN3B0d3E3NXFLZ19NVUltS2RPenZ4RlJHOGNIMmV3dG5RNGNoN2tyekxyWnlUamFLMWZRazVoLVZvRkNOeExFdC1TbzJvZTBrQ0VXSjlWcFhFZFg5YWVGbTNPMWFtQQ?hl=en-IN&gl=IN&ceid=IN%3Aen,"Seven dead, several feared buried"
24,Nation,https://news.google.com/read/CBMiuAJBVV95cUxQWENuWmlSaWpVTzlsTkxCdXU4TmtRT2ZsOGp3dnFPS3pzY28xTDRIMDZGejJLUzR6OFVwUlZzbDdIVV9OVHNfeTBrVWVtRUR3ZUdLSnFNYlZTdmNldEtQMkl2OFFodVhwanQyUEpwZ2FGYmhCZ1pUMXE5TzlJZGQ1U2J3d2dWRWpZSXg5NTFTMVZjYTlfa200NmxXWUMwdV81ZXdFbnFmYlVXQlRXdVZhQ0M0S2RjdE1QUTBJNlRfNzdaS0VsTFlaYmxMM0k3WlN5YlV0YU5uXzZFRUgtalVnSDNxNE80S29XVXl3YVphVUlFdC15MXBMXzJXdGI5U0lIWFBsV2QyZGpubkFXZjd1UEhuaGNUWHY1VmxBZzVvSlJIaGxWMVN1azdCNmxvM2UxZ05kWmVsRHo?hl=en-IN&gl=IN&ceid=IN%3Aen,Maharashtra ex-Minister Baba Siddique shot dead in Mumbai's Bandra
25,World,https://news.google.com/read/CBMi3wJBVV95cUxOb2xEbU56bjN1X1d4SEtYTGt2aFhVVjZyZWIxdGNFSnFZNFhia19KaGl1dUNsMFJZdnFGMDFSMXB1dWNnRUl6b3FrMzJxTzdYcTJNbC1WcGRwQ253bnpjX2s4TXNkMWZHa25Ud29NQ1hwY2hucVBrWlRhZXJ3YUU2MW1iRHBXMnBMZ0xTTVBMRVVMSFJsenE4X2tGX2NKR3JSYTdpZXBrTnJGX1NWc3ByNzhnNUdGRGRORlc2YjlfM2tJcGdUaVVuVVZUWEJwX0hQejhkQlRsc01kTXB3bktPTlVrSDk4ZE9JNG9Cc05xUTNsVmFRbFRwcHVCREpPMDhMTkNJZjRpS3czZmtEcHVRZFhJdExHamRkUG8xaV9vLUFEYl84MVZPRVRGYnBWR0Z1ZVJRMS1ZQzU4TUxyQTktXzlMTVVHTlY2dVlmVVJ0Sm9JQlUxaENsakpkbC1WdU0?hl=en-IN&gl=IN&ceid=IN%3Aen,"Systematic desecration: India condemns attack on pandal, theft at temple in Bangladesh"
26,Sports,https://news.google.com/read/CBMi1AJBVV95cUxPcFV0eHNGaU9aSUc4Q1FwTlhTWUV0OERzNGxxNlJ5eUhPWDJVXzJQWWpYTk5HcGxTd182TXdWekx5TFRQaTUtRGdxWFF1eldFWl9YR1dHbzY0ZF95TGR3Ylc5UlJQV1MwaVJvTEE5aGpEb3Zkb0UwYXZScHRfRGE0N0h4SHdpeGRwUk85eHVGRW9fMDFaTXhhWnFmV0RxM0pqQTJCTDY5NF9CQ0I3U3hhaDdaUlpjaGc5M2lQRS1adzMxRFJfSUlJMGdOUE5rVF90c2JITVdhUXRZbDJ2bEJJTHpuSExZMDRxbFY3NVdidnFfcmZxT2UyRlhSUGgzamVlMXdJYXA2TjJPYTdZNGNfQnlNNTBsYUsyQnZHUW1JYWR6RHRUbnhxTkNtWG5weXhSbjBpQVJ0dWxCUEQ1emgwOEg1NFJhYjB4d0JRUmxYX2ZFMXJB?hl=en-IN&gl=IN&ceid=IN%3Aen,"3rd T20I: Samson ton powers India to 133-run win, 3-0 series sweep against Bangladesh"
27,TRAIN COLLISION,https://news.google.com/read/CBMi1wJBVV95cUxOaWtvWGI2dUdOSHJVaEpfUVdmLTlWOUJWTUF5V1hyRFNjYmxJb3dOMzg1N29INTVvZEFBeVhYTktNWnFfdW95YXJHQkJvek9uMVBuN0MtclFvTHZqZGwyOEMwampfMlpkVHhVVmhENjAtN0RINzExVHg2S1JIRGlxNEFyNWpXaENMUUsxc3FkaDctQlY4QmMyUkZKNEsxWkNYMGN4UTdvZDd1REdMTlJkYVZYc0Zpa0h1N01RRHpNRWVTc0Mwd253bTkwR05vdDZNckVmUXUtNF9oQmp2ZWc0c3Rod2N5SlUxSEJXWHBiVnViWVF6UnJuYmstYlZaQ25DVHRGbmV4bnBKMl9Xdk9Zbk9KQlA0YWRtYVdPVGRuWEpXcG81VHRYd0RaT3BSQzhwR3ZtVjZmUzl5OEZLUmV3WUlTZUsydnctWG9pd2RzNkQxelJuNmd3?hl=en-IN&gl=IN&ceid=IN%3Aen,Mysuru-Darbhanga Bagmati Express rams into goods train near Chennai
28,🖊️ K Karthikeyan,https://news.google.com/read/CBMi-gJBVV95cUxNZDFPdWk1T2tjd0VIT0tkSUYwcWx5R01kT2w3OGlWLUVfUGc3QlhVX0c5aG9HaFVETmxrNEtyZ09Sel9jZGJNY3FjS3JLSHhVdHZ3Z1M2LWtudWxjWU84ZG16cW9HTVBvOUd2X1JDVlpKWEU5Q243SjlZQXRBc2FILUVsVVYxbzNVR2JfYXpqc3JtSGJwb0daMFRBQk1Jd3A4WVhCZ0p1VUd6SEg4Vi1XNHAwU0gzYW9ITzkzMGw1R3ppREN2NUFVNjVMaHI2cFdkS2t3dDdWYzNqWktOeFFxR3UzLW1CODNCMHFFWm9LMGFSblZOdHUyY0Zkc2MxM0h4dGZvZlQwX0NGUzR1LU4zSUNObG5kVWtTUTZFXzFIcTV0VGNsMW82VTdJZUN4Z3FVQzJMV1E3TnFFSy1Qb3lHRDZEcFVYdGlndmlRNUkzd0QzWmx1RnVQTUZVLXhWSUd5VExaZGtXSXFWcC1yb3lycmRkLXRlNGhOZmc?hl=en-IN&gl=IN&ceid=IN%3Aen,Many hurt as Bagmati Express running at 75km/hr rams into goods train
29,Another Balasore tragedy,https://news.google.com/read/CBMi8AJBVV95cUxONWgxUmhoMWNsUXJweHV1NXpOYWRrS0lxSnhmZUdOZXR2ZWYzVXkyNnFhQjZaQVFlbVNHVDFqZ2duRU9jaTJDLUVVUGhLQUdGTTVwNHctYVdZLVhZdmxZMjlzUVZKUWZibDhSOTVhck5CX2FxUEtsdTY1WDJZdEk4emdNRXFxNHh3aXVTYVg2UkFCbnkzYTBmLWZvVFg4YUl0dkhkUGVibWRNbm1tUnE1bGhJNVk0eGRscnliRVdGQW9MXy1WYXhfdU1NY1ZZdDg5M0xmbUVJRFM3bjlha0lCWXpjZy16WE9GdGNZRzBpejNLeUUxdUxiWFpWc3FyUm4wR2RHT0xBWE10TExwNk4ySWxNWEN2ZWZQN09zS1RnLThyX3NMZ2NVVXFxeHRhcVI5aWRlRHRQQUthSzBKT1VpNHNydmNmdVFsV0NVNXVOMVNmTXRuYmpVdXMxQXVNMWw0VUVWR1o1Qk9EY2gydUVKZA?hl=en-IN&gl=IN&ceid=IN%3Aen,Bagmati express train collision could have been another Balasore tragedy. Two lucky breaks prevented it
30,Attack On Hindus In B'desh,https://news.google.com/read/CBMiywJBVV95cUxOUEZyRTd5QkN3S3dGUmctcGNaV2g0ai1PeTMzd19Jdl9sVE9LdENVRlVKVlYyc0FMZmFVeUhDZTdFWFB0UDlmZ2hiNmtISDFhQlFqYkk3MDRFdXZqRktPWm4wVnM4elo5WEFUSFZKdnlpUUhyeFJsMVVSbDRjbE9qdmM5ZlNxSEsxR2M0NDVocTBkQWZyM19NU05FVk9jUm1LT1ZIVDh3MHg1WjBJbjFDMlFzVlBycTFDX2liU2pNRGxXeHlZTUYxSWd0UHpFdlFzTjQxLXJxamJXNlUwNk16UHliS3E0QW50SVVxeTdQdTFZcWRXMnlCX2hQNFdJVDJIbHE4ZTB6SHN6elFtSUlQeFlMNzdPZ2FSRUdLY1hOeWItMndpOGdzWWNXRzY1UmZ6MDJpNi1hTEtRckwzMnBQbTlYMmVmN0szUWc0?hl=en-IN&gl=IN&ceid=IN%3Aen,"'Cocktail bomb' Hurled At Durga Puja Pandal In Dhaka, 4 Stabbed"
31,US Elections,https://news.google.com/read/CBMi7gJBVV95cUxPYnZ6bkF5enUzTUVjZGthV0VsZzR1VVEybzBISU01X1l2SXNfeU1GOGl5VENYUFRNeFVfMEpqczVfdld4M29DemJ0bkE0X0VNNlpERGhTSDNNRDY4SXRmU3RjbldneUh0R0xRLUZyS0tING9COUdWalZSNTFYWDJTYkM0STVNSGlzdlBST3RzOFhhVzE3ekZPWWZrdUd6Xzlfd1Y1dVo0MFFQR1dtd2I0WFRKd0tPX1lyamFsM1JZTS10RmVONWFUb1hRcHZyUUQtVXExZnRBck80RE0xTHloM1FPOHkyVGZmOWltRUdLXzRKNF9TMnU3ODlSRGFmUmhzWHJhMm9PTHdpcHM1enVabVcyODRvMEFfNzYtTHdWdG9RQTJzTFVGdWh5OUhQYlNERVh3NVNNb0dwTGc4NktUUk9USXZNRm9fQm5aUURyT0lSbTctelNHM1loR3BrUDZJYm5DRHp1eXhwNmJqVWc?hl=en-IN&gl=IN&ceid=IN%3Aen,Iran's Threat To Kill Trump More Aggressive Than Thought: Report
32,Middle East Crisis,https://news.google.com/read/CBMi9wJBVV95cUxQZDVCeUFUVXNDQTBfR3A5dzB6Njd3aC1EVXJwMWgzZ2s1Zk1vYlFuQ0x1RENWaFlZUkVxSzRpQnkxQVF4ZVBGLVBiLWFwOEo4OVZhVGI5cnh2UXJWNXItTkdVNXpkTk5JZElyUkp3NFZSTUtDZjNvSkgwd2VfMW8tZXlaMXpLUGRQbUl0QjBST21BVnd1NWlXcGtyUlRyNUtQbXVwUkI2UnlsSzVIMVpSZlAzS2hrZFJGbU1IRWhBS3dMSGs4XzRETlJoQ1ZDN0tOa2R6NU1jWFhJdlhuUmhJZ0d5WFdjd1BqYWF5Y2Z0RV82cko4MkVfTWFRMlcyT2NmU2xRQkdISmVzSzRNTWFPMDV4bnBxb2RrMFYzcGRQVUtOY3FsMXM5M0FsWTViTjJydDh1ek0yNVcteXB0T0VGeXVrdTdIeExhRGphOGlxVm1JZlpBemFwQldOdm9TYkE0RWoxRkhXY1l1eFd4R1JzRjg4REpxbUk?hl=en-IN&gl=IN&ceid=IN%3Aen,Israel Marks Jewish Holiday Amid War First Time Since 1973
33,Web Stories,https://news.google.com/read/CBMivgJBVV95cUxQeXR6aWhVUGpNcFM0ZmxhSXVXWGlub1QtWkpJQkdEVVkzU0t4Q3Y5b2QzYkx1Q1MyVEFuVGs1bUZtLXhuUjkzSnpMMnpnTFR3NjdrNF9VS2ZDT01EcmhjWXo2WmlnalVUajc1NW1qNlBKbTZySlk3cVBGRWd1dmlTZUNxUWxxLXRsNDdVeUg3Q0otRlMya05ZRnlBTzJQMGk5aFJGT21PNXQ2Wkp2S2ZqczNNSVVRWEQ3ZE1pVE5uSHZ2MkR5Q2x1RmNBd0otelF6cS1Lbjlrc2hxcGdLanpFM3lBVGE4UXp3by01M2p2ZlVINjFkTVQwWWk4aUM2aWNuTHkzdDE0Wm1aa2Q4Y09TUDdNWFdycTZOVXlod2ExbUJlay1LYzFBamtVck9qYm4xZmVkc2pDTUpxbElKbnc?hl=en-IN&gl=IN&ceid=IN%3Aen,Sena workers gather for Dussehra rally
34,Web Stories,https://news.google.com/read/CBMixwJBVV95cUxPZXpyUi1lMVM5VlVOa2NCT2VtdFNpVEMwWXBWb3ZnVjhFT09sdXpvTTNuVTd0T0I1RDlmQU11dk5pdXI1TFlhNnlmRmxZRnNtVWxTQnpqSWNwNnlpYUlrSzV1N1NYVm04QmdPNjRGbjEzdUExSGUzU2VOUzRXLVFnXzg4WUFDZ09reVlEczdaUXRlM1lFRzRIbVZzVFRCVGRfaDVKX3MyM1gyOXNudDIzQnUtdnB1MDNqTkk2T21zWlNoYVZJTXVxcnN2LTJhNW5wY3BWRjR6bndBNnloUENHenltazFkb3FtdnVlVFJFOHp5UUhBQTlISlV2VjJCVHpuWW9zV1NuaDRDWWJxZzVmZ25iMUdPT2hISUw1T1o4bkhXb0hZLWNjUUc2ck55TTFVd0pBelBLQkZWY21yYTFVRjhQVmtCYjQ?hl=en-IN&gl=IN&ceid=IN%3Aen,Couple of the week: Karan and Tejasswi
35,Web Stories,https://news.google.com/read/CBMiugJBVV95cUxNRl9FYXVyTHZfZ2g1TmtvRDJaRUkxaGcxM0JHQWhMUXRjWDdxT0RrQ0hYT0dwUDJhdjdKdXBaYzlMMFZrYUJXOE5kVmM4WVdPQ25NcWgzcXN1LUlTWG45Q3FXTURseGVvMHBKMEdBZDcwVGpYaE16MFRWWEhkazE2ckNMem9EUUQ2S2puY0xwODBaNzAwUWVCZm5wMGZxTHpUSjdHY0NYSUozUkhRQlRnVlh3S2RSUk1QaDFNTXY1N0JGZzB2LVYyV0sxa0pxX0VhRmVsa1NMbEl0cFZpTDNvVlQyTFVrS2NUOTh4aGFCbzh4S0JUblA1REpTdnlxenNVYTNaWl8tWW9VbDJRazhhX19jMEZZalQ5VWh4eS1mSG91dHhJcE13VmZlXzB5WHEwaGEyWEFaTUFGUQ?hl=en-IN&gl=IN&ceid=IN%3Aen,Rani Mukerji`s royal red desi look
36,RAILWAYS,https://news.google.com/read/CBMimgVBVV95cUxQVWY4eUlsVktlUDk2RlpES3ZEVU9QMWEyejBtclJnZ0V1N29aR0tHU1RaSGQ4Nm42aW9YNVo0MHFGbWRVczdmSFdVZ0lzYWNmZXpqOTUwU29TSk11R1YzRGt4aDFvTmNjWkhrcjk5T2s5LXRZRWtPUXg3OWdmVUhQZzBLYU5VUGhZVURIQjRDQmp1YlFfQXVSR3pVaEVXWlVnLXd0QjFEaG9BY0VzVkhZSFlwSmpKV1d2VUp0Q3R6aTJzRm5sRl81ZEM0aHRLTm1VTER1b2ZJZGZpUlE3M3Q2Y1R4VGxjSFVMdVpvelc0R1Vmdy1nZ1pvWG9xWk1ERHMwMW1IWlBWamRubk5uQVQ4eW1TcVZZU0VOYUJMdmVmY0Jaemdibll6N25OVUpPOHE4THBJZmJRWC1sYUNnYU0tY2tmTnpnQVZqV3UyRHlCRGhrZkJqMmg2T2dBaEp2Z3A1b01hRXd5TlFKY01Jb2JoZl94UjBoNWJSZG8xNW1FN0pscjRWaGtSZkxkclhOSGZKSFd0eW11YTNoM0JMd2xTN2N5bXgzS19kS1JwMzMzdzFlZENGdFYzTHhsdmJ1azh2Nzc3VWo0ZnppTVIxajNxM2dQVjhKeTI0Zm1KWU9MN3BqM2pycmdfd2Y0TDFaYmNQUnJOcWYyc2NCYVRNSlp2Zk14YUVxbE9WcUdBWFVmYVFyNFZncGxIeDAyc3NfWmpzaDViVE00Ukt3ZXFUdlNVdU8xNm5WbVNuMFBzOFRFTmVHMkY4eDZxMFNUTFowdDZWSVYxZ2YzMnpnUjE0RV9BSEtqMFlraEhQYTliUzNWM3l4ak1Ub2lMRzFaZk1rT0lZMnZJdlhmdDFpUGE1ektvU1ZmSzZvZU1iZnc?hl=en-IN&gl=IN&ceid=IN%3Aen,Special Patna-Delhi Vande Bharat Express: All you need to know
